ID,A1.Code,A2.Date,A3.Data Contributor,A4.Season,A5.City,A6.Climate Zone,B1.Building Type,B2.Building Function,B3.Floors,B4.Building Operation Mode,B5.Room (Length¡ÁWidth),B5.Room Height (m),C1.Sex,C2.Age,C3.Height£¨cm£©,C4.Weight£¨kg£©,C5.Living Years,D1.TSV,D2.TCV,D3.TAV,D5.Clothing Insulation (clo),D6.Metabolic Rate (met),Measured Height (m),E1.Indoor Air Temperature (¡æ),E2.Indoor Relative Humidity (%),E3.Indoor Air Velocity (m/s),E4.Globe Temperature (¡æ),E5.Roof Temperature (¡æ),E5.Wall Temperature (¡æ),E5.Floor Temperature (¡æ),F1.Operative Temperature (¡æ),F2.Mean Radiant Temperature (¡æ),F3.Radiant Temperature Asymmetry (¡æ),F4.PMV,F5.PPD,G1.Real-Time Outdoor Temperature (¡æ),G2.Mean Daily Outdoor Temperature (¡æ),G3.Monthly Mean Outdoor Temperature (¡æ),G4.7-Day Running Mean Outdoor Temperature (¡æ),G4.15-Day Running Mean Outdoor Temperature (¡æ),G5.Mean Daily Outdoor Relative Humidity (%),G6.Mean Daily Outdoor Air Velocity (m/s)
1,DLUT3rd0001,6/16/18 2:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,170,62,6,2,3,-1,0.35,1.2,1.1,30,53,0.01,30,NA,NA,NA,30,30,NA,1.59,55.97,NA,24,22.2,19.4,23,NA,NA
2,DLUT3rd0002,6/16/18 2:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,170,62,6,2,2,-1,0.35,1.2,1.1,30.3,53,0.35,30.3,NA,NA,NA,30.3,30.3,NA,1.35,42.92,NA,24,22.2,19.4,23,NA,NA
3,DLUT3rd0003,6/16/18 2:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,170,62,6,2,2,0.1,0.35,1.2,1.1,30.2,52,0.6,30.2,NA,NA,NA,30.2,30.2,NA,1.15,33.23,NA,24,22.2,19.4,23,NA,NA
4,DLUT3rd0004,6/16/18 2:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,170,62,6,0,2,0.1,0.35,1.2,1.1,30.4,52,0.95,30.4,NA,NA,NA,30.4,30.4,NA,1.12,31.48,NA,24,22.2,19.4,23,NA,NA
5,DLUT3rd0005,6/16/18 2:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,170,62,6,0,2,0.1,0.35,1.2,1.1,30.3,52,1.21,30.3,NA,NA,NA,30.3,30.3,NA,0.99,25.94,NA,24,22.2,19.4,23,NA,NA
6,DLUT3rd0006,6/16/18 2:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,170,62,6,0,2,-1,0.35,1.2,1.1,30.4,52,1.71,30.4,NA,NA,NA,30.4,30.4,NA,0.94,23.8,NA,24,22.2,19.4,23,NA,NA
7,DLUT3rd0007,6/16/18 2:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,170,62,6,-1,3,-1,0.35,1.2,1.1,30,53,1.97,30,NA,NA,NA,30,30,NA,0.67,14.55,NA,24,22.2,19.4,23,NA,NA
8,DLUT3rd0008,6/16/18 4:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,178,65,2,2,1,1,0.35,1.2,1.1,29.8,51,0.01,29.8,NA,NA,NA,29.8,29.8,NA,1.5,50.88,NA,24,22.2,19.4,23,NA,NA
9,DLUT3rd0009,6/16/18 4:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,178,65,2,1,1,1,0.35,1.2,1.1,30.3,52,0.35,30.3,NA,NA,NA,30.3,30.3,NA,1.34,42.52,NA,24,22.2,19.4,23,NA,NA
10,DLUT3rd0010,6/16/18 4:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,178,65,2,0,1,1,0.35,1.2,1.1,29.7,53,0.6,29.7,NA,NA,NA,29.7,29.7,NA,0.93,23.49,NA,24,22.2,19.4,23,NA,NA
11,DLUT3rd0011,6/16/18 4:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,178,65,2,0,1,1,0.35,1.2,1.1,29.5,54,0.95,29.5,NA,NA,NA,29.5,29.5,NA,0.69,14.96,NA,24,22.2,19.4,23,NA,NA
12,DLUT3rd0012,6/16/18 4:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,178,65,2,0,1,1,0.35,1.2,1.1,29.9,54,1.21,29.9,NA,NA,NA,29.9,29.9,NA,0.8,18.65,NA,24,22.2,19.4,23,NA,NA
13,DLUT3rd0013,6/16/18 4:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,178,65,2,0,1,1,0.35,1.2,1.1,29.7,54,1.71,29.7,NA,NA,NA,29.7,29.7,NA,0.56,11.72,NA,24,22.2,19.4,23,NA,NA
14,DLUT3rd0014,6/16/18 4:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,178,65,2,-1,1,1,0.35,1.2,1.1,29.7,54,1.97,29.7,NA,NA,NA,29.7,29.7,NA,0.51,10.59,NA,24,22.2,19.4,23,NA,NA
15,DLUT3rd0015,6/20/18 2:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,182,55,4,2,4,-1,0.63,1.2,1.1,30,53,0.01,30,NA,NA,NA,30,30,NA,1.79,66.74,NA,21.6,22.2,19.1,23,NA,NA
16,DLUT3rd0016,6/20/18 2:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,182,55,4,2,3,-1,0.63,1.2,1.1,29.9,54,0.35,29.9,NA,NA,NA,29.9,29.9,NA,1.54,53.04,NA,21.6,22.2,19.1,23,NA,NA
17,DLUT3rd0017,6/20/18 2:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,182,55,4,2,3,-0.1,0.63,1.2,1.1,29.8,54,0.6,29.8,NA,NA,NA,29.8,29.8,NA,1.41,46.44,NA,21.6,22.2,19.1,23,NA,NA
18,DLUT3rd0018,6/20/18 2:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,182,55,4,1,3,-0.1,0.63,1.2,1.1,29.5,55,0.95,29.5,NA,NA,NA,29.5,29.5,NA,1.23,36.85,NA,21.6,22.2,19.1,23,NA,NA
19,DLUT3rd0019,6/20/18 2:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,182,55,4,1,3,-1,0.63,1.2,1.1,29.5,54,1.21,29.5,NA,NA,NA,29.5,29.5,NA,1.18,34.27,NA,21.6,22.2,19.1,23,NA,NA
20,DLUT3rd0020,6/20/18 2:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,182,55,4,1,3,-1,0.63,1.2,1.1,30.4,53,1.71,30.4,NA,NA,NA,30.4,30.4,NA,1.46,48.94,NA,21.6,22.2,19.1,23,NA,NA
21,DLUT3rd0021,6/20/18 2:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,182,55,4,0,3,-1,0.63,1.2,1.1,30.2,53,1.97,30.2,NA,NA,NA,30.2,30.2,NA,1.36,43.48,NA,21.6,22.2,19.1,23,NA,NA
22,DLUT3rd0022,6/20/18 2:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167,66,2,2,2,-1,0.35,1.2,1.1,29.8,55,0.01,29.8,NA,NA,NA,29.8,29.8,NA,1.53,52.97,NA,21.6,22.2,19.1,23,NA,NA
23,DLUT3rd0023,6/20/18 2:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167,66,2,1,1,-0.1,0.35,1.2,1.1,30,53,0.35,30,NA,NA,NA,30,30,NA,1.22,36.45,NA,21.6,22.2,19.1,23,NA,NA
24,DLUT3rd0024,6/20/18 2:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167,66,2,1,1,1,0.35,1.2,1.1,30.1,54,0.6,30.1,NA,NA,NA,30.1,30.1,NA,1.12,31.59,NA,21.6,22.2,19.1,23,NA,NA
25,DLUT3rd0025,6/20/18 2:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167,66,2,1,2,1,0.35,1.2,1.1,30.2,53,0.95,30.2,NA,NA,NA,30.2,30.2,NA,1.03,27.48,NA,21.6,22.2,19.1,23,NA,NA
26,DLUT3rd0026,6/20/18 2:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167,66,2,0,2,0.1,0.35,1.2,1.1,29.8,54,1.21,29.8,NA,NA,NA,29.8,29.8,NA,0.75,16.85,NA,21.6,22.2,19.1,23,NA,NA
27,DLUT3rd0027,6/20/18 2:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167,66,2,0,2,0.1,0.35,1.2,1.1,29.5,55,1.71,29.5,NA,NA,NA,29.5,29.5,NA,0.46,9.5,NA,21.6,22.2,19.1,23,NA,NA
28,DLUT3rd0028,6/20/18 2:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167,66,2,-1,3,-1,0.35,1.2,1.1,29.5,54,1.97,29.5,NA,NA,NA,29.5,29.5,NA,0.4,8.41,NA,21.6,22.2,19.1,23,NA,NA
29,DLUT3rd0029,6/20/18 4:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,176,67,1,2,3,-1,0.4,1.2,1.1,29.8,53,0.01,29.8,NA,NA,NA,29.8,29.8,NA,1.56,54.53,NA,21.6,22.2,19.1,23,NA,NA
30,DLUT3rd0030,6/20/18 4:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,176,67,1,1,3,-0.1,0.4,1.2,1.1,30,54,0.35,30,NA,NA,NA,30,30,NA,1.3,40.68,NA,21.6,22.2,19.1,23,NA,NA
31,DLUT3rd0031,6/20/18 4:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,176,67,1,0,2,-0.1,0.4,1.2,1.1,30.2,54,0.6,30.2,NA,NA,NA,30.2,30.2,NA,1.25,37.91,NA,21.6,22.2,19.1,23,NA,NA
32,DLUT3rd0032,6/20/18 4:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,176,67,1,0,2,0.1,0.4,1.2,1.1,30.5,53,0.95,30.5,NA,NA,NA,30.5,30.5,NA,1.27,38.81,NA,21.6,22.2,19.1,23,NA,NA
33,DLUT3rd0033,6/20/18 4:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,176,67,1,0,2,0.1,0.4,1.2,1.1,30.4,53,1.21,30.4,NA,NA,NA,30.4,30.4,NA,1.15,33.17,NA,21.6,22.2,19.1,23,NA,NA
34,DLUT3rd0034,6/20/18 4:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,176,67,1,0,1,1,0.4,1.2,1.1,30.3,53,1.71,30.3,NA,NA,NA,30.3,30.3,NA,1.01,26.73,NA,21.6,22.2,19.1,23,NA,NA
35,DLUT3rd0035,6/20/18 4:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,176,67,1,0,1,1,0.4,1.2,1.1,30.6,52,1.97,30.6,NA,NA,NA,30.6,30.6,NA,1.13,32,NA,21.6,22.2,19.1,23,NA,NA
36,DLUT3rd0036,6/20/18 4:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,169,57,18,2,3,-0.1,0.39,1.2,1.1,30.1,54,0.01,30.1,NA,NA,NA,30.1,30.1,NA,1.66,59.71,NA,21.6,22.2,19.1,23,NA,NA
37,DLUT3rd0037,6/20/18 4:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,169,57,18,1,2,0.1,0.39,1.2,1.1,30.1,53,0.35,30.1,NA,NA,NA,30.1,30.1,NA,1.32,41.57,NA,21.6,22.2,19.1,23,NA,NA
38,DLUT3rd0038,6/20/18 4:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,169,57,18,0,2,1,0.39,1.2,1.1,30.3,53,0.6,30.3,NA,NA,NA,30.3,30.3,NA,1.27,38.86,NA,21.6,22.2,19.1,23,NA,NA
39,DLUT3rd0039,6/20/18 4:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,169,57,18,0,1,1,0.39,1.2,1.1,30.5,52,0.95,30.5,NA,NA,NA,30.5,30.5,NA,1.24,37.58,NA,21.6,22.2,19.1,23,NA,NA
40,DLUT3rd0040,6/20/18 4:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,169,57,18,0,2,0.1,0.39,1.2,1.1,30.4,52,1.21,30.4,NA,NA,NA,30.4,30.4,NA,1.13,32.1,NA,21.6,22.2,19.1,23,NA,NA
41,DLUT3rd0041,6/20/18 4:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,169,57,18,0,2,0.1,0.39,1.2,1.1,30.5,52,1.71,30.5,NA,NA,NA,30.5,30.5,NA,1.09,30.24,NA,21.6,22.2,19.1,23,NA,NA
42,DLUT3rd0042,6/20/18 4:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,169,57,18,0,2,0.1,0.39,1.2,1.1,30.1,53,1.97,30.1,NA,NA,NA,30.1,30.1,NA,0.84,20.01,NA,21.6,22.2,19.1,23,NA,NA
43,DLUT3rd0043,6/26/18 10:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,180,70,1,1,1,1,0.35,1.2,1.1,29.4,64,0.01,29.4,NA,NA,NA,29.4,29.4,NA,1.48,49.84,NA,23.3,22.2,17.1,21.4,NA,NA
44,DLUT3rd0044,6/26/18 10:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,180,70,1,1,1,1,0.35,1.2,1.1,29.5,65,0.35,29.5,NA,NA,NA,29.5,29.5,NA,1.12,31.8,NA,23.3,22.2,17.1,21.4,NA,NA
45,DLUT3rd0045,6/26/18 10:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,180,70,1,1,1,1,0.35,1.2,1.1,29.7,65,0.6,29.7,NA,NA,NA,29.7,29.7,NA,1.04,28.11,NA,23.3,22.2,17.1,21.4,NA,NA
46,DLUT3rd0046,6/26/18 10:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,180,70,1,1,1,0.1,0.35,1.2,1.1,29.8,66,0.95,29.8,NA,NA,NA,29.8,29.8,NA,0.95,24.2,NA,23.3,22.2,17.1,21.4,NA,NA
47,DLUT3rd0047,6/26/18 10:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,180,70,1,-1,2,0.1,0.35,1.2,1.1,29.8,64,1.21,29.8,NA,NA,NA,29.8,29.8,NA,0.84,19.99,NA,23.3,22.2,17.1,21.4,NA,NA
48,DLUT3rd0048,6/26/18 10:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,180,70,1,-1,2,0.1,0.35,1.2,1.1,29.4,65,1.71,29.4,NA,NA,NA,29.4,29.4,NA,0.5,10.25,NA,23.3,22.2,17.1,21.4,NA,NA
49,DLUT3rd0049,6/26/18 10:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,180,70,1,-1,2,-0.1,0.35,1.2,1.1,29.5,65,1.97,29.5,NA,NA,NA,29.5,29.5,NA,0.5,10.23,NA,23.3,22.2,17.1,21.4,NA,NA
50,DLUT3rd0050,6/26/18 10:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,163,48,4,2,2,0.1,0.35,1.2,1.1,29.4,64,0.01,29.4,NA,NA,NA,29.4,29.4,NA,1.47,49.74,NA,23.3,22.2,17.1,21.4,NA,NA
51,DLUT3rd0051,6/26/18 10:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,163,48,4,1,1,1,0.35,1.2,1.1,29.5,66,0.35,29.5,NA,NA,NA,29.5,29.5,NA,1.13,32.05,NA,23.3,22.2,17.1,21.4,NA,NA
52,DLUT3rd0052,6/26/18 10:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,163,48,4,1,2,-0.1,0.35,1.2,1.1,30,65,0.6,30,NA,NA,NA,30,30,NA,1.18,34.59,NA,23.3,22.2,17.1,21.4,NA,NA
53,DLUT3rd0053,6/26/18 10:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,163,48,4,1,1,1,0.35,1.2,1.1,30,64,0.95,30,NA,NA,NA,30,30,NA,1.03,27.72,NA,23.3,22.2,17.1,21.4,NA,NA
54,DLUT3rd0054,6/26/18 10:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,163,48,4,0,2,0.1,0.35,1.2,1.1,30.1,64,1.21,30.1,NA,NA,NA,30.1,30.1,NA,1,26.29,NA,23.3,22.2,17.1,21.4,NA,NA
55,DLUT3rd0055,6/26/18 10:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,163,48,4,0,2,0.1,0.35,1.2,1.1,30.3,63,1.71,30.3,NA,NA,NA,30.3,30.3,NA,0.99,25.85,NA,23.3,22.2,17.1,21.4,NA,NA
56,DLUT3rd0056,6/26/18 10:00,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,163,48,4,-1,1,1,0.35,1.2,1.1,29.4,66,1.97,29.4,NA,NA,NA,29.4,29.4,NA,0.45,9.3,NA,23.3,22.2,17.1,21.4,NA,NA
57,DLUT3rd0057,6/26/18 12:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,168,52,1,1,2,1,0.4,1.2,1.1,29.5,65,0.01,29.5,NA,NA,NA,29.5,29.5,NA,1.57,54.99,NA,23.3,22.2,17.1,21.4,NA,NA
58,DLUT3rd0058,6/26/18 12:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,168,52,1,1,1,1,0.4,1.2,1.1,29.6,66,0.35,29.6,NA,NA,NA,29.6,29.6,NA,1.25,38.02,NA,23.3,22.2,17.1,21.4,NA,NA
59,DLUT3rd0059,6/26/18 12:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,168,52,1,0,1,1,0.4,1.2,1.1,29.8,64,0.6,29.8,NA,NA,NA,29.8,29.8,NA,1.17,34.11,NA,23.3,22.2,17.1,21.4,NA,NA
60,DLUT3rd0060,6/26/18 12:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,168,52,1,0,2,0.1,0.4,1.2,1.1,29.8,64,0.95,29.8,NA,NA,NA,29.8,29.8,NA,1.04,28.19,NA,23.3,22.2,17.1,21.4,NA,NA
61,DLUT3rd0061,6/26/18 12:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,168,52,1,1,1,0.1,0.4,1.2,1.1,30.1,64,1.21,30.1,NA,NA,NA,30.1,30.1,NA,1.11,31.22,NA,23.3,22.2,17.1,21.4,NA,NA
62,DLUT3rd0062,6/26/18 12:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,168,52,1,0,2,0.1,0.4,1.2,1.1,29.6,64,1.71,29.6,NA,NA,NA,29.6,29.6,NA,0.75,17.07,NA,23.3,22.2,17.1,21.4,NA,NA
63,DLUT3rd0063,6/26/18 12:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,168,52,1,-1,1,1,0.4,1.2,1.1,29.5,65,1.97,29.5,NA,NA,NA,29.5,29.5,NA,0.66,14.15,NA,23.3,22.2,17.1,21.4,NA,NA
64,DLUT3rd0064,6/26/18 12:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167,56,6,2,3,-0.1,0.4,1.2,1.1,29.6,65,0.01,29.6,NA,NA,NA,29.6,29.6,NA,1.6,56.69,NA,23.3,22.2,17.1,21.4,NA,NA
65,DLUT3rd0065,6/26/18 12:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167,56,6,2,2,0.1,0.4,1.2,1.1,29.6,66,0.35,29.6,NA,NA,NA,29.6,29.6,NA,1.25,38.12,NA,23.3,22.2,17.1,21.4,NA,NA
66,DLUT3rd0066,6/26/18 12:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167,56,6,1,2,0.1,0.4,1.2,1.1,29.7,64,0.6,29.7,NA,NA,NA,29.7,29.7,NA,1.13,31.94,NA,23.3,22.2,17.1,21.4,NA,NA
67,DLUT3rd0067,6/26/18 12:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167,56,6,0,2,0.1,0.4,1.2,1.1,30,63,0.95,30,NA,NA,NA,30,30,NA,1.12,31.72,NA,23.3,22.2,17.1,21.4,NA,NA
68,DLUT3rd0068,6/26/18 12:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167,56,6,0,1,0.1,0.4,1.2,1.1,30.2,67,1.21,30.2,NA,NA,NA,30.2,30.2,NA,1.2,35.19,NA,23.3,22.2,17.1,21.4,NA,NA
69,DLUT3rd0069,6/26/18 12:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167,56,6,0,1,0.1,0.4,1.2,1.1,29.7,64,1.71,29.7,NA,NA,NA,29.7,29.7,NA,0.8,18.76,NA,23.3,22.2,17.1,21.4,NA,NA
70,DLUT3rd0070,6/26/18 12:30,Dalian University of Technology ,Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167,56,6,0,1,1,0.4,1.2,1.1,29.4,65,1.97,29.4,NA,NA,NA,29.4,29.4,NA,0.61,12.8,NA,23.3,22.2,17.1,21.4,NA,NA
